trade_date,close,turnover_rate,pe,pb,ps,dv_ratio,total_mv
20140219,12,1.7722,8.5243,1.042,2.8743,0.7623,11424894.79
20140220,11.76,1.3744,8.3538,1.0211,2.8168,0.7779,11196396.89
20140221,11.6,0.8608,8.2402,1.0072,2.7785,0.7886,11044064.96
20140224,11.16,1.1977,7.9276,0.969,2.6731,0.8197,10625152.15
20140225,11.02,0.9835,7.8282,0.9569,2.6396,0.8301,10491861.71
20140226,11.11,0.7316,7.8921,0.9647,2.6611,0.8234,10577548.42
20140227,11.24,0.9955,7.9844,0.976,2.6922,0.8139,10701318.12
20140228,11.13,0.8003,7.9063,0.9664,2.6659,0.8219,10596589.92
20140303,11.04,0.7666,7.8424,0.9586,2.6443,0.8286,10510903.2
20140304,10.98,0.9462,7.7998,0.9534,2.63,0.8332,10453778.73
20140305,10.7,0.9559,7.6009,0.9291,2.5629,0.855,10187197.85
20140306,10.77,0.9458,7.6506,0.9352,2.5797,0.8494,10253843.07
20140307,10.8,0.8764,6.751,0.9174,1.9702,0.847,10282405.31
20140310,10.31,0.9762,6.4447,0.8758,1.8808,0.8873,9815888.771
20140311,10.24,0.8085,6.4009,0.8698,1.8681,0.8934,9749243.552
20140312,10.35,0.9238,6.4697,0.8792,1.8881,0.8839,9853971.754
20140313,10.56,1.1238,6.601,0.897,1.9264,0.8663,10053907.41
20140314,10.32,0.8077,6.4509,0.8766,1.8827,0.8864,9825409.517
20140317,10.47,0.6689,6.5447,0.8894,1.91,0.8737,9968220.702
20140318,10.38,0.7744,6.4884,0.8817,1.8936,0.8813,9882533.991
20140319,10.24,0.6511,6.4009,0.8698,1.8681,0.8934,9749243.552
20140320,10.1,0.8158,6.3134,0.8579,1.8425,0.9058,9615953.113
20140321,10.79,2.245,6.7447,0.9166,1.9684,0.8478,10272884.56
20140324,10.79,1.511,6.7447,0.9166,1.9684,0.8478,10272884.56
20140325,10.6,0.7456,6.626,0.9004,1.9337,0.863,10091990.4
20140326,10.7,0.646,6.6885,0.9089,1.952,0.855,10187197.85
20140327,10.77,1.4404,6.7322,0.9149,1.9648,0.8494,10253843.07
20140328,10.78,0.9553,6.7385,0.9157,1.9666,0.8486,10263363.82
20140331,10.77,0.5759,6.7322,0.9149,1.9648,0.8494,10253843.07
20140401,10.8,0.5044,6.751,0.9174,1.9702,0.847,10282405.31
20140402,10.91,0.8257,6.8197,0.9268,1.9903,0.8385,10387133.51
20140403,10.77,0.8136,6.7322,0.9149,1.9648,0.8494,10253843.07
20140404,10.79,0.6135,6.7447,0.9166,1.9684,0.8478,10272884.56
20140408,11.28,2.4084,7.051,0.9582,2.0578,0.811,10739401.1
20140409,11.19,0.9996,6.9948,0.9505,2.0414,0.8175,10653714.39
20140410,11.36,1.3811,7.101,0.965,2.0724,0.8053,10815567.07
20140411,11.4,1.064,7.126,0.9684,2.0797,0.8025,10853650.05
20140414,11.28,0.7564,7.051,0.9582,2.0578,0.811,10739401.1
20140415,10.97,0.9589,6.8572,0.9318,2.0012,0.8339,10444257.98
20140416,10.99,0.6755,6.8697,0.9335,2.0049,0.8324,10463299.48
20140417,10.9,0.5468,6.8135,0.9259,1.9885,0.8393,10377612.77
20140418,10.8,0.5803,6.751,0.9174,1.9702,0.847,10282405.31
20140421,10.69,0.5347,6.6822,0.9081,1.9502,0.8558,10177677.11
20140422,11.06,0.9385,6.9135,0.9395,2.0177,0.8271,10529944.7
20140423,11.3,2.136,7.0635,0.9599,2.0614,0.8096,10758442.59
20140424,11.23,1.137,7.0198,0.9115,2.0487,0.8146,10691797.37
20140425,11.25,1.2811,7.0323,0.9131,2.0523,0.8132,10710838.86
20140428,11.03,0.9434,6.8947,0.8953,2.0122,0.8294,10501382.46
20140429,11.16,0.7418,6.976,0.9058,2.0359,0.8197,10625152.15
20140430,11.14,0.4656,6.9635,0.9042,2.0323,0.8212,10606110.66
20140505,10.99,0.7232,6.8697,0.892,2.0049,0.8324,10463299.48
20140506,10.95,0.4802,6.8447,0.8888,1.9976,0.8354,10425216.49
20140507,10.85,0.4338,6.7822,0.8806,1.9793,0.8431,10330009.04
20140508,10.93,0.6808,6.8322,0.8871,1.9939,0.837,10406175
20140509,11.05,0.5773,6.9072,0.8969,2.0158,0.8279,10520423.95
20140512,11.34,1.0796,7.0885,0.9204,2.0687,0.8067,10796525.57
20140513,11.23,0.5485,7.0198,0.9115,2.0487,0.8146,10691797.37
20140514,11.31,0.7463,7.0698,0.918,2.0633,0.8089,10767963.34
20140515,11.19,0.5607,6.9948,0.9082,2.0414,0.8175,10653714.39
20140516,11.27,0.5591,7.0448,0.9147,2.056,0.8117,10729880.35
20140519,11.27,0.4683,7.0448,0.9147,2.056,0.8117,10729880.35
20140520,11.24,0.369,7.026,0.9123,2.0505,0.8139,10701318.12
20140521,11.33,0.472,7.0823,0.9196,2.0669,0.8074,10787004.83
20140522,11.39,1.1104,7.1198,0.9245,2.0779,0.8032,10844129.3
20140523,11.58,0.7449,7.2385,0.9399,2.1125,0.79,11025023.47
20140526,11.58,0.5667,7.2385,0.9399,2.1125,0.79,11025023.47
20140527,11.58,0.5101,7.2385,0.9399,2.1125,0.79,11025023.47
20140528,11.6,0.7659,7.251,0.9415,2.1162,0.7886,11044064.96
20140529,11.5,0.6497,7.1885,0.9334,2.0979,0.7955,10948857.5
20140530,11.5,0.5717,7.1885,0.9334,2.0979,0.7955,10948857.5
20140603,11.51,0.4988,7.1948,0.9342,2.0997,0.7948,10958378.25
20140604,11.33,0.5809,7.0823,0.9196,2.0669,0.8074,10787004.83
20140605,11.43,0.4417,7.1448,0.9277,2.0852,0.8004,10882212.28
20140606,11.38,0.3344,7.1135,0.9237,2.076,0.8039,10834608.56
20140609,11.48,0.5623,7.176,0.9318,2.0943,0.7969,10929816.01
